gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,pCR_expression_mean_tpm,non-pCR_expression_mean_tpm
ENSG00000002016,368.6713013681281,-0.9345950468069455,0.26512632009078024,-3.5250934214563707,4.233334690331352e-4,0.014642357634793147,RAD52,3.6589174444444446,7.898010923076923
ENSG00000003056,1242.8660643674004,0.7298471201902633,0.2343972732766893,3.113718474569159,0.0018474567612274597,0.032270954587575076,M6PR,19.171349555555555,19.069073461538462
ENSG00000004468,312.93271502177237,1.939468956821734,0.6257877309713968,3.099244137962146,0.0019401507454178944,0.033169929254995026,CD38,3.535840888888889,1.7570483076923078
ENSG00000004777,349.12638261652717,-1.5702446029149937,0.3682404541372618,-4.26418277859739,2.0063516075044973e-5,0.0026639171666091974,ARHGAP33,2.272128,7.1152141538461535
ENSG00000004939,257.643479403338,-0.6190040727889509,0.2041933190260756,-3.031460949561742,0.0024337339868021036,0.03765883116420097,SLC4A1,1.8952823333333333,3.9757153846153845
ENSG00000005059,262.73951246930756,1.2448630078495955,0.3700336420468059,3.364188728797074,7.676902688310937e-4,0.020648079068584225,MCUB,8.515108666666666,5.787601923076923
ENSG00000005206,980.7642420310592,-0.9800785121384653,0.2816609385461106,-3.479639445914923,5.020889990121948e-4,0.016367218713755693,SPPL2B,7.033939666666667,15.77279676923077
ENSG00000005302,604.2552451477279,0.8395167004117746,0.253414484289945,3.3128205073362693,9.236023347042388e-4,0.02279788431569803,MSL3,5.798327444444444,5.338189923076923
ENSG00000005812,528.9232055064771,0.6606320122720246,0.21768146430007354,3.03485652485939,0.002406501378109889,0.03741325655259794,FBXL3,6.715874111111111,7.45350023076923
ENSG00000005844,1386.4515605892395,0.7124102115539039,0.24275126532942318,2.9347332570527893,0.003338345333185889,0.04581553270400183,ITGAL,14.371734333333333,11.654980153846154
ENSG00000006634,132.83300334731675,0.9090197838221631,0.2702506765038965,3.363617052070753,7.692820619483956e-4,0.020648079068584225,DBF4,3.281661,3.879370846153846
ENSG00000006704,834.7936894418648,-0.9352095509551757,0.2526287074742253,-3.701913216060734,2.1397981451468377e-4,0.010289435725902971,GTF2IRD1,2.0399522222222224,4.655664076923077
ENSG00000006788,129.23579869108437,-1.2641062776049654,0.3368988743746583,-3.752183143833181,1.7530132219659253e-4,0.009593278944413308,MYH13,0.17416966666666667,0.40320307692307694
ENSG00000006837,105.93489616933725,-1.0725408285903486,0.2958708993950321,-3.6250298044970806,2.889281284676406e-4,0.012087229487353674,CDKL3,1.7435805555555555,4.457582307692308
ENSG00000007001,20.937122625883596,-2.4020799690753387,0.7574054371326624,-3.1714585759629363,0.001516754984823876,0.029636730560561337,UPP2,0.15222755555555556,0.5205156923076923
ENSG00000007216,22.6811569050987,-4.057504889773886,1.1297368474250646,-3.591548685892553,3.287187507481162e-4,0.012769023886455037,SLC13A2,0.033501666666666666,0.27014707692307693
ENSG00000007384,501.64357516207895,-1.0863243538813063,0.3109800510610143,-3.4932284247010092,4.7721810903054827e-4,0.01584173981269413,RHBDF1,3.0975527777777776,7.1665016153846155
ENSG00000008056,27.567526360209058,-1.7835132027572094,0.6080679398885297,-2.933082120863272,0.0033561510803133974,0.045931563912119514,SYN1,0.09399455555555555,0.4207151538461538
ENSG00000008324,85.16153953367507,1.1645205512262051,0.3998915805601216,2.912090696170898,0.00359018375244157,0.04790138230412251,SS18L2,3.9277244444444444,3.536041846153846
ENSG00000008517,752.9440696313852,1.2530324323205824,0.39941924616429253,3.137135839981968,0.0017060706310679863,0.03107162264369837,IL32,16.46421433333333,9.52420223076923
ENSG00000008952,1078.484138577497,0.8816069572460649,0.2490473752807066,3.539916677509196,4.0025337874046845e-4,0.014171551887275424,SEC62,15.073107555555556,15.815523923076922
ENSG00000009307,4208.847522065245,0.8946068975537848,0.28571576283782574,3.1311079538218194,0.0017414813173424741,0.03140388653748794,CSDE1,72.02472911111111,69.65151884615385
ENSG00000009830,493.1851343044094,-0.45319195152412106,0.14898422147949222,-3.041878844777554,0.002351065035527582,0.03686469975707249,POMT2,8.14036488888889,16.157071
ENSG00000010322,2245.554574525428,-0.8248897690858985,0.27515878208860933,-2.9978682229384903,0.0027187520247121005,0.040398495789584855,NISCH,11.315109999999999,19.728301
ENSG00000010610,2158.2221601727056,2.1636017369044884,0.3884194612442559,5.570271195922175,2.543431269131719e-8,3.645584496065586e-5,CD4,23.900407666666666,9.051589846153846
ENSG00000010671,313.5940851082045,1.2169455702675487,0.3517236485848453,3.459948101766573,5.402795073420699e-4,0.0172391742579444,BTK,5.181428333333334,3.1920343846153845
ENSG00000011600,1181.4018917647375,1.978463000287258,0.3809279139936029,5.193798951474276,2.0604564921263038e-7,1.2115484173702666e-4,TYROBP,72.97380933333334,28.097228153846153
ENSG00000013563,342.63415219827897,0.8113191950077585,0.2778793741967304,2.9196812370585246,0.0035038958589753,0.047262915548593604,DNASE1L1,3.3978965555555556,2.781181692307692
ENSG00000013573,906.9950121078854,-1.051213399871117,0.28606682150671975,-3.67471276233418,2.381171473911292e-4,0.010822795596586648,DDX11,6.023733888888889,18.295350538461538
ENSG00000014123,394.00105334287804,0.7764731686645249,0.24733357397898612,3.139376333641204,0.0016930785974750623,0.030908303823734145,UFL1,4.180044,4.338174230769231
ENSG00000014914,280.05045149997113,-1.0422121247469374,0.3116301421570968,-3.344388054161798,8.246430250491339e-4,0.02144853517284193,MTMR11,2.058205111111111,3.4648884615384614
ENSG00000019169,144.71674818864827,3.3680390750714486,0.8361939792131163,4.027820289068423,5.62963472714104e-5,0.004983134739120972,MARCO,2.101777888888889,0.337796
ENSG00000019582,21114.351006827204,1.842204092084657,0.41806860790912426,4.406463573761314,1.0507196830664682e-5,0.001729904886200633,CD74,438.83649866666667,174.31563069230768
ENSG00000021355,774.3861812331254,0.6716511741121165,0.16348173665062313,4.108417171683847,3.983800274018721e-5,0.003999346811673428,SERPINB1,9.335611444444444,9.392556384615384
ENSG00000021762,824.7568071299722,-0.9325770637303914,0.3116970578207196,-2.9919341242764843,0.0027721607564203197,0.040860210110746774,OSBPL5,6.226494111111111,12.082825230769231
ENSG00000026036,826.2066462092855,-0.850717694338664,0.2722267379282756,-3.1250335687554873,0.0017778477019772293,0.031762344882901195,RTEL1-TNFRSF6B,1.606540111111111,3.149143153846154
ENSG00000026297,1305.2744133241517,0.7755376165583157,0.26617934663606846,2.913590503393425,0.0035729825200916158,0.047891053202168216,RNASET2,19.520539777777778,16.16907053846154
ENSG00000026751,792.2263052734597,1.9679970600726426,0.541350219410667,3.6353491501584205,2.776043988118777e-4,0.011840618709944961,SLAMF7,7.858412555555556,3.583431846153846
ENSG00000027697,1048.7682303836525,1.121563259982344,0.3332324889283916,3.365708018414006,7.634747654561943e-4,0.020648079068584225,IFNGR1,17.159770333333334,15.472555
ENSG00000028137,1245.7367062836634,1.2544599512951593,0.3034170472661184,4.1344412339327405,3.5581928373119e-5,0.0037794894757098786,TNFRSF1B,8.474499666666667,4.5425693076923075
ENSG00000030110,467.5089724365,0.9343081194309708,0.23676967293593157,3.9460633105819634,7.944661516971563e-5,0.006018548989010228,BAK1,3.779537,3.686836076923077
ENSG00000030582,3710.374546026702,1.632122706697657,0.3838978832396718,4.251450132843542,2.1239080473149863e-5,0.0027752398484915818,GRN,53.79107333333334,25.83929369230769
ENSG00000035115,937.014884899119,-0.8401438246186721,0.28673369844181806,-2.9300491333394776,0.0033890841213057195,0.0463052954134252,SH3YL1,8.944538444444444,24.204133153846154
ENSG00000038274,599.8021200681455,0.8867112041626062,0.30100698602971127,2.945816028585736,0.003221039163303397,0.04486564194976914,MAT2B,8.800354666666667,8.374498153846154
ENSG00000038382,4490.81469004643,-0.6552610969855897,0.16440638264792984,-3.985618358800625,6.730461700058301e-5,0.005520869327661623,TRIO,26.103318222222224,48.6891936923077
ENSG00000038945,1609.2729501517406,1.4040846932506839,0.3759260871998645,3.7350020151812173,1.8771368407348492e-4,0.009754683964445333,MSR1,29.207559222222223,18.37526353846154
ENSG00000039139,465.6683553614819,-2.1985690091263685,0.6992568202937619,-3.1441509690284275,0.0016656948263202669,0.03083233186510493,DNAH5,0.3856842222222222,2.0591495384615386
ENSG00000040633,533.9380144492086,0.62515105654797,0.18714570265185257,3.3404510372911926,8.364242785629271e-4,0.021652341701666716,PHF23,5.358510888888889,5.6433853076923075
ENSG00000042493,1714.2728005382648,1.5755879535948256,0.430638498944305,3.658725259021949,2.534728925439735e-4,0.011340156801206466,CAPG,33.027827888888886,18.929587615384616
ENSG00000042753,875.7780362649959,0.7780627580389203,0.2434189342007143,3.1963937423099487,0.0013915707107519213,0.028310160654751722,AP2S1,29.51242855555556,23.786141
ENSG00000043462,1013.3421251438051,0.9777952236487241,0.22261641817784386,4.392287108256242,1.1216444247820873e-5,0.0017928887193798336,LCP2,18.646651777777777,15.439350461538462
ENSG00000047662,88.0388992221746,-1.0736481224806604,0.3318198718098672,-3.2356353964715554,0.0012137230764831077,0.02630137916690856,FAM184B,0.12275033333333334,0.37132446153846155
ENSG00000049245,574.6771814349056,0.8082120002554891,0.26140250654032565,3.0918295732975656,0.0019892702224430904,0.03362561082371976,VAMP3,16.117213555555555,13.824939461538461
ENSG00000049759,911.871220718331,-1.2186725035234316,0.39508866386054026,-3.0845544683954857,0.0020385727824274776,0.03414350182084027,NEDD4L,7.190928333333333,23.340734846153847
ENSG00000049768,113.97171372031782,1.160810859539682,0.339327115924912,3.420919829456105,6.240972675225988e-4,0.01861437937045664,FOXP3,1.0309535555555556,0.6300208461538461
ENSG00000049860,1013.8422143857449,0.8851086142973064,0.25395913527236297,3.4852403058785657,4.916952468000514e-4,0.016158224637357377,HEXB,24.750418111111113,20.25224276923077
ENSG00000051108,1708.6799903415708,1.1617150460252677,0.3101529088797546,3.7456203464970925,1.799485559047561e-4,0.009619068261090599,HERPUD1,40.179042555555554,29.377441461538464
ENSG00000051523,1907.5545283254107,1.5458850001899307,0.38560241798927725,4.009012724170517,6.097313145418582e-5,0.005283482296114291,CYBA,61.05571388888889,37.88744807692308
ENSG00000054116,660.6076161210437,0.7863232675432335,0.21728644088242768,3.6188326540297466,2.959349206305907e-4,0.01221120935654648,TRAPPC3,10.872040888888888,11.225294846153847
ENSG00000057252,773.5797116189675,0.8086767468346436,0.25886493107491443,3.1239331781121638,0.0017845097799249032,0.031762344882901195,SOAT1,5.103475666666667,4.483580692307692
ENSG00000057608,2033.489790875686,0.928129085124337,0.2900030352755437,3.200411624114498,0.0013723144715591389,0.0282069731083017,GDI2,26.710611000000004,24.12482853846154
ENSG00000060656,570.5212661001658,-1.2166820148679587,0.3902218636092857,-3.1179237462875125,0.0018212991906041928,0.0322082383180531,PTPRU,1.6192251111111111,3.777711230769231
ENSG00000062650,961.992042153869,0.5286937539788936,0.17035919139088054,3.103406101322896,0.0019130693135454401,0.032830168908843896,WAPL,6.018229,6.5056896153846155
ENSG00000063169,620.0488305381172,-0.440116701156333,0.13545883340442816,-3.249080846889573,0.0011577856727072028,0.025655159240176834,BICRA,2.399604,3.9984603076923078
ENSG00000063438,73.36402172906755,-2.1539091144950753,0.5595611788919951,-3.849282608847346,1.18464267167789e-4,0.007623723277873895,AHRR,0.26762311111111114,1.1967396153846153
ENSG00000064726,555.8022159768693,0.6996317505020831,0.22792054351198934,3.069630054937458,0.002143240682784994,0.03521700765222045,BTBD1,8.862652222222222,8.649407923076923
ENSG00000065911,971.3315229913462,1.023559163765107,0.2950252346459103,3.4693953044172106,5.21631327917103e-4,0.01680653264741132,MTHFD2,12.600679,13.467829076923078
ENSG00000065978,3859.8631201456433,0.9407292719850248,0.2515536734960018,3.7396761450990175,1.842574932568579e-4,0.009704011535536565,YBX1,55.87699533333333,50.94939261538462
ENSG00000066294,1822.8310332380197,0.9969531455064715,0.28892136907017246,3.4506037013286273,5.593342347116887e-4,0.01756376772086587,CD84,8.839603222222223,6.796107999999999
ENSG00000066336,734.3090997914107,0.9542133579404054,0.32103401181281666,2.9723123495611823,0.0029556582387889503,0.0424585776294678,SPI1,12.736858444444444,7.58057023076923
ENSG00000066468,425.8237604962389,-1.2108897628092474,0.3979398449162867,-3.0428965037767917,0.002343129048042221,0.03686469975707249,FGFR2,2.3471525555555557,4.961627307692308
